processed_tweet,username
 and all of a sudden i felt realli tire like the world ha drain me for everyth that i had,Depressed1278
 i thought i wa heal but the truth is i just stop feel,Depressed1278
 everyth seem to be exhaust me no matter how much i sleep or how much coffe i drink or how long i lie down someth insid me seem to have given up my soul is tire,Depressed1278
 whi is keep myself aliv so hard,Depressed1278
 my head is current a horribl place to be,Depressed1278
 i disappear sometim its my thing,Depressed1278
 ive been go trough the motion learn how to pretend that everyth is perfect ive been sink in an ocean drown but im silent yet everyon think im afloat hayd,Depressed1278
 im just wonder whi i wasnt good enough for you,Depressed1278
 sometim the worst place you can be is in your own head,Depressed1278
 i just dont know what to do anymor,Depressed1278
 i feel so emot drain its just to much,Depressed1278
 i feel so useless,Depressed1278
 sometim the worst place you can be is your own head,Depressed1278
 my onli reason to get out of bed is now gone,Depressed1278
 im still not enough and i dont think i will ever be and im so sorri for that,Depressed1278
 i felt so much that i start feel noth,Depressed1278
 im tri my best to be okay but everyday it is so hard,Depressed1278
 i hope the new year goe better for you,Depressed1278
 it hurt know you tri do your best and it still wasnt good enough,Depressed1278
 i wanna feel again,Depressed1278
 sometim happi memori hurt the most,Depressed1278
 my thought are destroy me i tri not to think but the silenc wa a killer too,Depressed1278
 sometim someth hurt so much it stop hurt at all,Depressed1278
 i care i alway care that is my problem,Depressed1278
 i wil never let someon so close again never,Depressed1278
 i am so so sorri,Depressed1278
 i feel so empti insid,Depressed1278
 i dont want to lose you,Depressed1278
 here i am again feel like im not want feel like im worthless and even though im aliv feel dead,Depressed1278
 cri away the pain at night so i can fake a smile all day,Depressed1278
 i feel like im lose myself over and over again,Depressed1278
 i said it wa fine but i never said it didnt hurt,Depressed1278
 im sorri that i let you down,Depressed1278
 the voic scream loud as hell,Depressed1278
 no one know how much i cri everyday,Depressed1278
 i want to see you smile i know that mean ill have to leav,Depressed1278
 i never thought i would lose you,Depressed1278
 im a mess,Depressed1278
 i love you,Depressed1278
 noth last forev,Depressed1278
 wake up is the hardest thing to do,Depressed1278
 nobodi love me im broken,Depressed1278
 the night are the worst,Depressed1278
 rememb that i love you,Depressed1278
 and that wa the moment the moment i recognis we arent friend anymor we are just two peopl who talk sometim noth more noth less,Depressed1278
 peopl go but how they left is what stay with you forev,Depressed1278
 i am done i dont know if life is worth thi much troubl,Depressed1278
 im struggl to hide how damag ive becom,Depressed1278
 im in love with thi song if you want to listen to it the song is call jack and jill and is sang by,Depressed1278
 whi do you love me im such a fuckin mess whi do you need me my live is such a wreck and lovin me aint easi im broken in the head it like nobodi see me im better off just dead,Depressed1278
 i fuck everyth up,Depressed1278
 sorri,Depressed1278
 im more broken than you think,Depressed1278
 happi new year my love,Depressed1278
 i just feel so empti sometim and its so exhaust to feel noth and everyth at the same time,Depressed1278
 i let you in i let you fuck in and you complet destroy me,Depressed1278
 i swear im tri my best but i just cant breath anymor and everi second im aliv i feel like im drown,Depressed1278
 rememb that i love you,Depressed1278
 who am i fight for,Depressed1278
 i dont know whi i am even tri everybodi hate me,Depressed1278
 i feel so lone whi am i even here,Depressed1278
 mayb he left becaus he saw me the way i see myself,Depressed1278
 doe anyon els find it crazi that you can be so depress and no one around you notic not your parent your sibl your friend your teacher your classmat no one like you can liter be on the verg of tear drown and everyon is oblivi,Depressed1278
 i have more scar than friend,Depressed1278
 confess im suicid as hell im a monster i hurt everyon i love my anxieti is through the roof i dont deserv to be here im sorri,Depressed1278
 i still hate myself i still think about die and some night i still am hurt myself but i swear im tri my hardest to be ok,Depressed1278
 watch thi video from it is realli nice,Depressed1278
 shes alway ‘ okbut when shes alon the demon come out to play thrash and scream intern outwardli she wa even smile face a smile on her lip scar on her hip but she is alway ‘ ok ,Depressed1278
 im not worth anyons time,Depressed1278
 i just want the pain to end,Depressed1278
 fake a smile is so much easier than explain whi are you sad,Depressed1278
 your eye they use to shine so bright,Depressed1278
dont worri about me ill be fine just dont look into my eye ,Depressed1278
 i tell everybodi to be strong when i am the weakest person on thi world,Depressed1278
 i wonder how mani peopl have seen my cut and just never said anyth,Depressed1278
 they keep say it get better but when its not chang anyth for me im worthless,Depressed1278
 the scariest part is the realis that you have lost yourself complet sink in as you lay awak ata m becaus you lost the abil to sleep and you cant even cri becaus you dont even care a d h,Depressed1278
 i want to talk about it damn it i want to scream i want to yell i want to shout about it but all i could do wa whisperim fine ,Depressed1278
 im fall apart im bare breath with a broken heart thats still beat,Depressed1278
 i dont know what i am aliv or just breath,Depressed1278
 what a shame that the girl who onc believ in fairytal and magic had to be struck by realiti with demon in her mind and the fear of never be love k f,Depressed1278
 some day i feel everyth at onc other day i feel noth at all i dont know whats wors drown beneath the wave or die from the thirst o m,Depressed1278
 nobodi want me not even myself,Depressed1278
 i feel like everyon hate me and thats okay becaus i hate me too a l,Depressed1278
 hello love i know time are hard right now but just rememb that i love you and that i am alway here for you,Depressed1278
 warn for your own good walk away i fuck everyth up ill probabl push you away thats my thing i just dont want to hurt you so pleas im beg you dont enter my life,Depressed1278
 i hurt myself becaus i deserv it,Depressed1278
 ive been secretli fall apart,Depressed1278
 im lose myself more and more everi fuck day,Depressed1278
 fuck feel all they do is make me feel worthless and numb a l,Depressed1278
 it hurt but its ok im use to it,Depressed1278
 pretend dure the day break insid at night,Depressed1278
 no it doesnt work that way i cant just wake up one day sayoh i wanna be happiand be happi believ me ive tri,Depressed1278
 you dont know what ive been through the childhood ive had how much i hate myself what i do to myself when i am alon how much i just want to give up how much my heart hurt how much i cri,Depressed1278
 i am a disappoint to everyon,Depressed1278
 we cut and kill flower becaus we think theyre beauti we cut and kill ourselv becaus we think we are not m o b,Depressed1278
 happi valentinesday,Depressed1278
 i am a horribl person i cant do anyth i am probabl hate,Depressed1278
 just becom someon look happi doesnt mean that they are becaus even a white rose ha a black shadow c m h,Depressed1278
 i am the problem,Depressed1278
 im not as strong as everyon think i am,Depressed1278
 stupid me think i wa good enough,Depressed1278
 i can feel myself break piec by piec,Depressed1278
you cant see i am hurt you dont notic the pain it feel like everyon els is sit in the sunshin while i drown in the rain ,Depressed1278
i feel myself chang i dont even laugh the same anymor i dont smile the same or talk the same im just so tire of everyth ,Depressed1278
 here i am again feel like im not want feel like im worthless and even though im aliv feel dead,Depressed1278
